"CostCenterCode","LocationCode","CDSCode","School","SchoolYear","NumberInCohort","NumberOfGraduates","CohortGradRate"
"1860601","8606","19647330122341","Esteban Torres HS - East Los Angeles Performing Arts Magnet","2018-19",89.000000000,86.000000000,0.966000000
"1777501","7775","19647330122358","Esteban Torres HS - Humanitas Academy of Art & Technology","2018-19",86.000000000,80.000000000,0.930000000
"1191801","1918","19647331930619","Harold McAlister High School CYESIS","2018-19",56.000000000,22.000000000,0.393000000
"1854301","8543","19647331930924","Belmont Senior High","2018-19",302.000000000,178.000000000,0.589000000
"1864501","8645","19647331931393","Highland Park Continuation High","2018-19",47.000000000,8.000000000,0.170000000
"1861401","8614","19647331932540","Eagle Rock High School","2018-19",420.000000000,394.000000000,0.938000000
"1873801","8738","19647331932888","Downtown Business Magnet","2018-19",220.000000000,212.000000000,0.964000000
"1191401","1914","19647331939784","Joseph Pomeroy Widney Career Preparatory & Transition Center","2018-19",16.000000000,0.000000000,0.000000000
"1864301","8643","19647331933043","Benjamin Franklin High School","2018-19",322.000000000,284.000000000,0.882000000
"1871401","8714","19647331934371","Thomas Jefferson Senior High","2018-19",148.000000000,108.000000000,0.730000000
"1874301","8743","19647331935519","Manual Arts Senior High","2018-19",424.000000000,341.000000000,0.804000000
"1875001","8750","19647331935568","John Marshall Senior High","2018-19",567.000000000,508.000000000,0.896000000
"1772101","7721","19647330124511","Diego Rivera Learning Complex Performing Arts","2018-19",141.000000000,116.000000000,0.823000000
"1771801","7718","19647330124495","Diego Rivera Learning Complex Communication & Technology","2018-19",131.000000000,94.000000000,0.718000000
"1857101","8571","19647331931476","Canoga Park Senior High","2018-19",287.000000000,230.000000000,0.801000000
"1855801","8558","19647330120360","Daniel Pearl Senior High Journalism & Communications Magnet","2018-19",75.000000000,71.000000000,0.947000000
"1814201","8142","19647336058002","Robert Fulton College Preparatory School","2018-19",159.000000000,141.000000000,0.887000000
"1889301","8893","19647331938968","Van Nuys Senior High","2018-19",629.000000000,534.000000000,0.849000000
"1872601","8726","19647331932334","Jane Addams Continuation High","2018-19",52.000000000,6.000000000,0.115000000
"1872501","8725","19647331939941","John F Kennedy Senior High","2018-19",479.000000000,448.000000000,0.935000000
"1891401","8914","19647331939107","Verdugo Hills Senior High","2018-19",339.000000000,308.000000000,0.909000000
"1884301","8843","19647331937622","San Fernando Senior High","2018-19",478.000000000,418.000000000,0.874000000
"1776101","7761","19647330120808","Dorothy V Johnson Community Day School","2018-19",58.000000000,20.000000000,0.345000000
"1876801","8768","19647331935865","James Monroe Senior High","2018-19",558.000000000,433.000000000,0.776000000
"1850701","8507","19647331930064","William Tell Aggeler Opportunity High School","2018-19",37.000000000,8.000000000,0.216000000
"1857301","8573","19647331931500","Owensmouth Continuation High","2018-19",55.000000000,14.000000000,0.255000000
"1886701","8867","19647330124487","Diego Rivera Learning Complex Public Service Community","2018-19",157.000000000,138.000000000,0.879000000
"1859101","8591","19647331930940","John R Wooden High School","2018-19",58.000000000,10.000000000,0.172000000
"1889801","8898","19647330124362","Valley Academy of Arts and Sciences","2018-19",259.000000000,248.000000000,0.958000000
"1877001","8770","19647331931385","Albert Einstein Continuation High School","2018-19",59.000000000,14.000000000,0.237000000
"1884201","8842","19647331933233","Sherman Oaks Center for Enriched Studies (SOCES) Magnet","2018-19",245.000000000,232.000000000,0.947000000
"1739001","7390","19647331931716","Lake Balboa College Preparatory Magnet K-12","2018-19",29.000000000,25.000000000,0.862000000
"1771901","7719","19647330124503","Diego Rivera Learning Complex Green Design STEAM Academy","2018-19",108.000000000,93.000000000,0.861000000
"1194801","1948","19647336060461","Charles Leroy Lowman Special Ed & Career Transition Center","2018-19",12.000000000,0.000000000,0.000000000
"1190801","1908","19647331931633","Diane S Leichman Career Preparatory and Transition Center","2018-19",22.000000000,0.000000000,0.000000000
"1855901","8559","19647331931690","Independence Continuation High","2018-19",58.000000000,23.000000000,0.397000000
"1878601","8786","19647331936350","North Hollywood Senior High","2018-19",593.000000000,540.000000000,0.911000000
"1888301","8883","19647331932250","Henry David Thoreau Continuation High","2018-19",59.000000000,15.000000000,0.254000000
"1881601","8816","19647331931682","Zane Grey Continuation High","2018-19",52.000000000,4.000000000,0.077000000
"1858901","8589","19647330101329","William J Johnston Community Day School","2018-19",41.000000000,17.000000000,0.415000000
"1839601","8396","19647336061600","Sun Valley Magnet: Engineering Technology","2018-19",72.000000000,70.000000000,0.972000000
"1851801","8518","19647330102921","Dr Richard A Vladovic Harbor Teacher Preparation Academy","2018-19",118.000000000,118.000000000,1.000000000
"1858501","8585","19647331931559","Stoney Point Continuation High","2018-19",60.000000000,11.000000000,0.183000000
"1850601","8506","19647330102137","Aggeler Community Day School","2018-19",39.000000000,20.000000000,0.513000000
"1851301","8513","19647330107003","Northridge Academy Senior High","2018-19",250.000000000,245.000000000,0.980000000
